"","x"
"1272","RT @IMPL0RABLE: #TheResistance #Resist #Trump

LOTS of people want to #BoycottTrump

#DumpTrump!

With the #GrabYourWallet movement: https:…"
"1273","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1274","RT @TheOralBuffet: #Realtalk So #Trump are these new nukes going to be made where your clothes are in China? @Hibbletsnbits @mmpadellan @an…"
"1275","RT @BiancaJagger: Donald Trump the #unpresidented will be protected by #PrivateMilitaryContractors RT #Trump Private Security Force #…https…"
"1276","RT @TrumpGo_2016: Michelle Obama Gets WORST News of Her Life, Dr. ‘Diagnoses’ Her with… https://t.co/aB8XcDf9B7 ... #Trump #Deplorable http…"
"1277","RT @TheRickyDavila: Remember this ladies and gentlemen, whatever #Trump and his family do, where the travel, how they travel, it is all car…"
"1278","RT @JxhnBinder: While the mainstream media is claiming Ivanka #Trump was ""confronted"" on Jet Blue flight, this is #MattLasner openly callin…"
"1279","RT @rafshmatko: Nikolai #Shmatko about #DonaldTrump and his victory #Trump #MakeAmericaGreatAgain #AlwaysTrump #USA #Ukraine https://t.co/J…"
"1280","#AntichristTrump Called Messiah, Televangelists Say 2017 The Year https://t.co/vszLIJA9Wi
 #Antichrist #Trump #NeverTrump"
"1281","RT @rightlyaligned: EU Banned By Court From Striking Trade Deals Without Approval Of Individual Countries https://t.co/kQBhdi0K00 #Trump #M…"
"1282","RT @Hotpage_News: #TRUMP 'S MUSLIM BAN IS GOING AHEAD: President-elect doubles down after Berlin terror attack  https://t.co/nCYcqmzNP7"
"1283","On the rise of the American populist #right #Trump an insightful read https://t.co/yDfgcX9pMU"
"1284","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1285","@seanspicer @realDonaldTrump @DanScavino @JasonMillerinDC So #Trump hires a mindless idiot to speak for a mindless idiot. Sounds about right"
"1286","RT @rollingitout: Before Matt Lasner could delete I scored his phone number &amp; information. Have Fun! #JetBlue #MAGA #Trump https://t.co/vcs…"
"1287","RT @KidReno2111: @PrisonPlanet If true, Obama you're an ass! Way to leave us more vulnerable. Have fun playing golf as we watch #TRUMP dism…"
"1288","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1289","RT @JacloPac: #Trump: It's official, let's get started we've got a lot to divvy up.. https://t.co/e4JKBC7Fy2"
"1290","#Trump - Fox News' Guilfoyle Considered For WH Press Secretary Job https://t.co/DtWe4q8pyJ #tcot"
"1291","Donald #Trump starting to destroy knowledge. https://t.co/8Dpn6yp1h1"
"1292","RT @JohnRMoffitt: #Trump &amp; #Putin are now in a pissing match over escalating the number &amp; size of nuclear weapons! How can this go more wro…"
"1293","We must rape all the women until they all understand just how bad rape is. Trump would never be the voice of reason… https://t.co/kcVSdkrgey"
"1294","RT @CulpableCrimes: Congress: #Trump must divest his hotels.

Trump: I build the best nuclear weapons ever...they have a nice afterglow. ht…"
"1295","RT @StopTrump2020: I don't believe for a minute #Trump cares about anyone who is not a millionaire. He doesn't understand the struggles of…"
"1296","Michael Savage streaming Live https://t.co/ROkLmRzv98 @ASavageNation #tcot #1TSLtalkshow #Trump #border #immigration #talkradio"
"1297","RT @SputnikInt: New #ArmsRace? #Trump tweets US must 'greatly' expand #nuclear arsenal https://t.co/4BiLhPUjBx https://t.co/srm0lYr2xa"
"1298","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1299","#CantFixStupid  I live (reluctantly &amp; temporarily) in a red state and the poorest of the poor always vote… https://t.co/4bKXKFY2j3"
"1300","@Bourdain Doesn't Hold Back On #Trump Hotel Chefs | TravelPulse https://t.co/pA0ZaZLj0c"
"1301","A Tour Of Trump’s Expanding Latin America Empire Shows A Pattern Of Conflicts #trump #expanding #latin #america…… https://t.co/hp9mMvIygt"
"1302","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1303","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1304","RT @echotoall: The anti-NATO #Trump wants to increase the nuclear arms race. Fucking moron. $spy #politicalrisk https://t.co/CIsqhPkyVO"
"1305","RT @Annimallover: #trump has EVERY SINGLE SYMPTOM of mental illness! https://t.co/XEB551iwbD"
"1306","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1307","RT @jalloyd4: The #Earth is flat, #Trump a #Democrat.. &amp; other great 2016 #conspiracy theories @mlle_elle @guardian https://t.co/KlClhLVB8E…"
"1308","Natural disasters for $800.
- In 2016, this...
Who is Donald #Trump!"
"1309","RT @SputnikInt: New #ArmsRace? #Trump tweets US must 'greatly' expand #nuclear arsenal https://t.co/4BiLhPUjBx https://t.co/srm0lYr2xa"
"1310","Send your news out to over 4 million followers. https://t.co/Rc5Ax1w6pQ #social #business #news #networks… https://t.co/f7iaDFanKn"
"1311","TRUMP DAILY: Everything You Need to Know About Donald Trump’s $1 Trillion Infrastructure Plan #Trump https://t.co/uf7TuN7DUA"
"1312","So #trump has already said he wants stronger nuclear weapons &amp; calls for Muslim ban. Way to create a war before even taking office. <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"1313","RT @RSTopnews: @rinosiconolfi1:""Congrats @JasonMillerinDC @DanScavino @seanspicer,Hope Hicks named by President #Trump in #WhiteHouse Commu…"
"1314","Letters reveal #Trump rants against Scottish offshore windfarm: Climate Home https://t.co/qbh2cYygab #renewable #sustainag #environment"
"1315","Jay Weidner &amp; Jeff Rense - The Final Crossroads https://t.co/g0tTBmQ1fJ #hillary #clinton #obama #rigging #trump"
"1316","RT @funder: #Trump must divest all his businesses-Congressman Adam Schiff explains why &amp; the Constitutions Emoluments Clause #TrumpLeaks #a…"
"1317","#Tumblr is the one social platform taking action ahead of #Trump's America https://t.co/0S6EQWD15u via @mashable #SocialMedia"
"1318","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1319","I don't wanna see any of those soulless fucks on stage anyway. All we need is ted nugent. #trump https://t.co/nsSH878ch7"
"1320","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1321","RT @drudgeheadlines: #Trump calls for expanded #US #nuke capability until 'world comes to its senses'... https://t.co/hVmfNVw1Y7"
"1322","RT @tktok64: #trump admin has NO mandate. We can stop repeal of ACA, oil agenda. Be heard!  #catdjt #theresistance https://t.co/KIiClYcrRm"
"1323","Hats off to ""White Supremacy"" for becoming so diverse<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #HateHoax @AnnabelleBakerF #MAGA #Trump #FakeNews <ed><U+00A0><U+00BD><ed><U+00BA><U+0082><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><U+2603><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BF><U+0081> https://t.co/tbpvUfy2Yz"
"1324","RT @ggrushko: People were &amp; still are desperate for a miracle. #Trump ain't it. https://t.co/QBiMT5gRTO"
"1325","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1326","TRUMP DAILY: Donald Trump's irate letters to Alex Salmond revealed #Trump https://t.co/pWZEOXx3kT"
"1327","TRUMP DAILY: Trump picks China hawk for trade advisory role #Trump https://t.co/bGQ9Je1MVP"
"1328","TRUMP DAILY: Everything You Need to Know About Donald Trump’s $1 Trillion Infrastructure Plan #Trump https://t.co/uf7TuMQ332"
"1329","TRUMP DAILY: ‘Death by China’ author to lead Trump trade office #Trump https://t.co/0gA5MHdebS"
"1330","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1331","It's December 22, 2016 at 02:00PM! Somewhere in the world a #Trump is telling another lie. #TrumpLies #TrumpFamilyo… https://t.co/76ITL9oXLO"
"1332","RT @Greg_Palast: How did #Trump steal the election? I break it down for @PaulJay_TRNN of @TheRealNews https://t.co/WUrL1h07vB https://t.co/…"
"1333","RT @funder: #TrumpLeaks on Trump &amp; his MULTIPLE nonprofit foundations NOW on this string
#msnbc #amjoy #cnn #trump #thursdaythought #hb2 #t…"
"1334","RT @JohnRMoffitt: #Trump &amp; #Putin are now in a pissing match over escalating the number &amp; size of nuclear weapons! How can this go more wro…"
"1335","RT @funder: @RepAdamSchiff this is the file of ACTIVE #Trump companies in 30+ countries!

RT to show the congressman WE HAVE THE PROOF HERE…"
"1336","#Trump is right on #nuclear weapons. US is well below New START numbers. Russia well above. Also we need more flexi… https://t.co/5NsyZNUOtq"
"1337","Election facts. #shewon #resist #trump #maga https://t.co/c0Hro7DPYJ"
"1338","Face full of black soot #politics #election #president #trump #hillary"
"1339","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1340","Terrible, really is. China building 2 coal plants a week...that's every WEEK!!!
And #Trump wants to bring back coal… https://t.co/TPmKntxVED"
"1341","RT @dagraffman: Yeah. #Trump has a fucking obsession with nukes. LOTS OF PEOPLE TRIED TO WARN US. https://t.co/MiskX7imfz"
"1342","RT @robinsnewswire: ""President #Trump News: #Trump names Sean Spicer as #WhiteHouse press secretary #News"" : https://t.co/EzkpcEtsoe"
"1343","RT @Annimallover: #trump has EVERY SINGLE SYMPTOM of mental illness! https://t.co/XEB551iwbD"
"1344","What does the future hold for #emergingmarkets debt with #Trump in charge? #thinkingaloud https://t.co/y985KyRSPB https://t.co/kEsVbXfXB8"
"1345","Words that tangerine hate muppet #POTUS #Trump won't understand #Bluehand #NewBluehand https://t.co/4q0Rs9PQRP"
"1346","TRUMP DAILY: Explosive letters reveal Donald Trump portrayed himself as 'saviour of Scotland' #Trump https://t.co/rGEabkJpD5"
"1347","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1348","RT @2ALAW: I Am The President Of The United States-  Hillary <ed><U+00A0><U+00BE><ed><U+00B4><U+0095><ed><U+00A0><U+00BD><ed><U+00B8><U+00B7><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

#Trump https://t.co/Dh2jQVQDtf"
"1349","TRUMP DAILY: Dr Strangelove meets Trump’s stock market #Trump https://t.co/EDbkDWHe7c"
"1350","RT @DissidentReport: Money Lenders are Parasites on Soceity #wallStreet #maga #trump #wikileaks #occupy #merkel #eu #greece #Anonymous #alt…"
"1351","#POTUS #Trump won't understand the wording on this, he is clueless #Bluehand #NewBluehand https://t.co/UvC6qKqJqI"
"1352","RT @TheOralBuffet: #Realtalk So #Trump are these new nukes going to be made where your clothes are in China? @Hibbletsnbits @mmpadellan @an…"
"1353","De Niro covers the worlds opinion of #POTUS #Trump so well #NewBluehand #Bluehand #DonaldTrump https://t.co/HAJsaB9mH9"
"1354","VOTE Ken Buck and #TRUMP to MAKE CO-04 GREAT AGAIN! https://t.co/jNhLg3HPat"
"1355","RT @PRevere1776: #Trump being elected #POTUS makes this the most enjoyable Christmas season in yrs, gifts from nutty liberals every day. Th…"
"1356","Here's Stalin feminist @JessicaValenti, who's asking Ivanka #Trump to toughen up, complaining about harassment in 2… https://t.co/Z9kt8T3GV6"
"1357","I'm sticking my neck out in this article! Has the US election damaged the #Trump brand? Read more: https://t.co/ToihgbI5dw"
"1358","No one should be surprised #Trump is targeting #womensequality programs. We need #womenpowerpeace more than ever.  https://t.co/ubrWOHnLNd"
"1359","RT @SputnikInt: New #ArmsRace? #Trump tweets US must 'greatly' expand #nuclear arsenal https://t.co/4BiLhPUjBx https://t.co/srm0lYr2xa"
"1360","What #Trump's Presidency Means for #ClimateChange https://t.co/Ja9ZBHDfH0 #GlobalWarming via @SydesJokes (Please… https://t.co/rVvAYwYwWG"
"1361","#POTUS #Trump, meet a proper world leader - our #Churchill #Bluehand #NewBluehand https://t.co/aamGt7cbYh"
"1362","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1363","""To abandon facts is to abandon freedom."" Read @TimothyDSnyder post, strategies for #TheResistance {#Resist #trump} https://t.co/mQNAhFPaOg"
"1364","RT @AzDeplorable: RT if you Love #USA &amp; Donald &amp; Melania #Trump <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>
#RussiaHacking<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #CIA<ed><U+00A0><U+00BD><ed><U+00B1><U+008E> #Trump<U+2764><U+FE0F> #MAGA<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> #AmericaFirst
#Recount<ed><U+00A0><U+00BD><ed><U+00B1><U+008E> #…"
"1365","HANG THE BASTARD!! #GOP #DEMOCRAT #UC #COLLEGE #UNIV #TRUMP https://t.co/LQxCIiaqHL"
"1366","RT @funder: @GOP #Trump has 1,000s of companies affiliated with him in 50+ countries. He can't have ANY business abroad-NONE-ZILCH-ZERO #Tr…"
"1367","RT @Sputnik_Not: #Putin and #Trump agree the best way to support nuclear non-proliferation efforts is to get more #nuclear weapons https://…"
"1368","If you believe the Russians hacked the Dems to help #Trump then you NEED to listen to this new #BluntForceTruth. https://t.co/wsU5lszbRV"
"1369","#Trump and #Putin agree: Let's revive the nuclear arms race #p2  https://t.co/VEJaosiyNc"
"1370","RT @rafshmatko: <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF> Art For Trump! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF> #DonaldTrump #Trump #TrumpTrain #USA #RealDonaldTrump #Trump #MAGA https://t.co/5GbqXNNTbS"
"1371","In light of recent #Trump news.
#nukes #USA https://t.co/3fgfcrkvJJ"
"1372","RT @ZipperJunction: #RenewableEnergy Sector Remains #Optimistic Amid #Trump Policy Outlook https://t.co/BFEBusHWYe @NPR"
"1373","RT @funder: @GOP Because when the hurricane comes-and it will-and insurance has to pay out. He will think #Trump first. Wouldn't you? #Trum…"
"1374","TRUMP DAILY: Canada's Trudeau said Trump 'very supportive' of Keystone XL pipeline #Trump https://t.co/6NQaS1csoD"
"1375","TRUMP DAILY: With No Set Rules, Trumps Improvise on Fundraising Ethics #Trump https://t.co/tvyBC6s1CH"
"1376","#Trump is a sick man. https://t.co/V5tgsfSsRl"
"1377","RT @afbranco: @PolToons - Branco Cartoon – Cozy BFF's #Trump #Putin #WakeUpAmerica #GOP https://t.co/j9Wya40twU"
